sign,reading__P0r1,reading__P1r1,reading__P2r1,reading__P3r1,reading__P4r1,reading__P5r1,reading__P6r1,reading__P7r1,reading__P0r2,reading__P1r2,reading__P2r2,reading__P3r2,reading__P4r2,reading__P5r2,reading__P6r2,reading__P7r2,reading__P0r3,reading__P1r3,reading__P2r3,reading__P3r3,reading__P4r3,reading__P5r3,reading__P6r3,reading__P7r3,reading__P0r4,reading__P1r4,reading__P2r4,reading__P3r4,reading__P4r4,reading__P5r4,reading__P6r4,reading__P7r4,reading__P0r5,reading__P1r5,reading__P2r5,reading__P3r5,reading__P4r5,reading__P5r5,reading__P6r5,reading__P7r5,2reading__P0r1,2reading__P1r1,2reading__P2r1,2reading__P3r1,2reading__P4r1,2reading__P5r1,2reading__P6r1,2reading__P7r1,2reading__P0r2,2reading__P1r2,2reading__P2r2,2reading__P3r2,2reading__P4r2,2reading__P5r2,2reading__P6r2,2reading__P7r2,2reading__P0r3,2reading__P1r3,2reading__P2r3,2reading__P3r3,2reading__P4r3,2reading__P5r3,2reading__P6r3,2reading__P7r3,2reading__P0r4,2reading__P1r4,2reading__P2r4,2reading__P3r4,2reading__P4r4,2reading__P5r4,2reading__P6r4,2reading__P7r4,2reading__P0r5,2reading__P1r5,2reading__P2r5,2reading__P3r5,2reading__P4r5,2reading__P5r5,2reading__P6r5,2reading__P7r5,3reading__P0r1,3reading__P1r1,3reading__P2r1,3reading__P3r1,3reading__P4r1,3reading__P5r1,3reading__P6r1,3reading__P7r1,3reading__P0r2,3reading__P1r2,3reading__P2r2,3reading__P3r2,3reading__P4r2,3reading__P5r2,3reading__P6r2,3reading__P7r2,3reading__P0r3,3reading__P1r3,3reading__P2r3,3reading__P3r3,3reading__P4r3,3reading__P5r3,3reading__P6r3,3reading__P7r3,3reading__P0r4,3reading__P1r4,3reading__P2r4,3reading__P3r4,3reading__P4r4,3reading__P5r4,3reading__P6r4,3reading__P7r4,3reading__P0r5,3reading__P1r5,3reading__P2r5,3reading__P3r5,3reading__P4r5,3reading__P5r5,3reading__P6r5,3reading__P7r5,reading_ax1r1,reading_ay1r1,reading_az1r1,reading_ax2r1,reading_ay2r1,reading_az2r1,reading_nc1r1,reading_nc2r1,reading_ax1r2,reading_ay1r2,reading_az1r2,reading_ax2r2,reading_ay2r2,reading_az2r2,reading_nc1r2,reading_nc2r2,reading_ax1r3,reading_ay1r3,reading_az1r3,reading_ax2r3,reading_ay2r3,reading_az2r3,reading_nc1r3,reading_nc2r3,reading_ax1r4,reading_ay1r4,reading_az1r4,reading_ax2r4,reading_ay2r4,reading_az2r4,reading_nc1r4,reading_nc2r4,reading_ax1r5,reading_ay1r5,reading_az1r5,reading_ax2r5,reading_ay2r5,reading_az2r5,reading_nc1r5,reading_nc2r5,reading_gx1r1,reading_gy1r1,reading_gz1r1,reading_gx2r1,reading_gy2r1,reading_gz2r1,2reading_nc1r1,2reading_nc2r1,reading_gx1r2,reading_gy1r2,reading_gz1r2,reading_gx2r2,reading_gy2r2,reading_gz2r2,2reading_nc1r2,2reading_nc2r2,reading_gx1r3,reading_gy1r3,reading_gz1r3,reading_gx2r3,reading_gy2r3,reading_gz2r3,2reading_nc1r3,2reading_nc2r3,reading_gx1r4,reading_gy1r4,reading_gz1r4,reading_gx2r4,reading_gy2r4,reading_gz2r4,2reading_nc1r4,2reading_nc2r4,reading_gx1r5,reading_gy1r5,reading_gz1r5,reading_gx2r5,reading_gy2r5,reading_gz2r5,2reading_nc1r5,2reading_nc2r5
A,2.09,1.89,2.09,1.71,1.96,0,1.31,0.94,2.09,1.9,2.09,1.72,1.97,0,1.7,1.26,2.09,1.97,2.09,1.73,1.96,0,1.89,1.31,2.09,1.97,2.09,1.73,1.97,0,2.06,1.29,2.09,1.97,2.09,1.73,1.98,0,0.6,0,0.59,2.08,2.08,2.08,2.08,2.08,2.08,0,0.63,2.08,2.08,2.09,2.08,2.08,2.08,0,0.32,2.08,2.08,2.09,2.08,2.08,2.08,0,0,2.08,2.08,2.08,2.08,2.08,2.08,0,0.6,2.08,2.08,2.08,2.08,2.08,2.09,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,4488,2336,50300,14992,60028,63504,-1,-1,5152,1708,49880,14880,61632,63012,-1,-1,4220,2772,49204,14824,63132,148,-1,-1,5716,2968,50804,15132,61224,2344,-1,-1,4696,64824,48248,15344,63960,63324,-1,-1,1821,1794,1154,64012,63814,59200,-1,-1,65427,65343,65157,64935,3982,1935,-1,-1,62601,2076,2100,63805,65057,61300,-1,-1,64285,1707,65033,64085,2176,1089,-1,-1,562,1638,298,918,1049,64075,-1,-1
A,2.09,1.97,2.09,1.74,1.98,0,0.56,0,2.09,1.97,2.09,1.73,1.99,0,0.56,0,2.09,1.97,2.09,1.74,1.98,0,0.56,0,2.09,1.97,2.09,1.74,1.99,0,0.54,0,2.09,1.97,2.09,1.74,1.99,0,0.54,0,0.61,2.08,2.08,2.09,2.08,2.08,2.08,0,0.61,2.08,2.08,2.08,2.08,2.08,2.08,0,0.61,2.08,2.08,2.08,2.08,2.08,2.09,0,0.61,2.08,2.08,2.08,2.08,2.08,2.08,0,0.61,2.08,2.08,2.08,2.08,2.08,2.08,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,2720,65480,49656,15932,63004,63000,-1,-1,5192,72,49716,16392,62636,63132,-1,-1,3860,65480,49428,15872,62760,62596,-1,-1,3548,424,49880,15644,62280,62532,-1,-1,5156,63260,49536,16016,61320,59816,-1,-1,1659,955,395,65275,64363,65377,-1,-1,64773,862,65519,65270,65401,30,-1,-1,2468,1624,1751,65527,125,293,-1,-1,64193,159,63164,65465,39,65534,-1,-1,64464,348,65526,63809,63840,1781,-1,-1
A,2.09,1.96,2.09,1.75,1.97,0,1.12,0.82,2.09,1.96,2.09,1.74,1.98,0,1.14,1.02,2.09,1.97,2.09,1.74,1.98,0,0.54,0,2.09,1.97,2.09,1.74,1.99,0,0.57,0.09,2.09,1.97,2.09,1.75,1.99,0,0.56,0.27,0.65,2.08,2.08,2.08,2.08,2.08,2.09,0,0.6,2.08,2.08,2.08,2.08,2.08,2.08,0,0.59,2.08,2.08,2.09,2.08,2.08,2.08,0,0.6,2.08,2.08,2.08,2.08,2.08,2.09,0,0.59,2.08,2.08,2.08,2.08,2.08,2.08,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,5340,264,50796,15908,61284,63312,-1,-1,5348,65128,49996,15800,62928,63244,-1,-1,5460,936,50128,15816,62456,63420,-1,-1,5396,65056,49796,15444,62260,61928,-1,-1,4956,65444,49760,15488,62052,62404,-1,-1,96,417,64958,1996,65292,1804,-1,-1,313,305,65325,65057,1655,64882,-1,-1,317,469,64822,435,65116,65284,-1,-1,64820,65429,65386,563,65505,65338,-1,-1,182,94,521,65209,881,64256,-1,-1
A,2.09,1.97,2.09,1.74,1.99,0,0.58,0.6,2.09,1.97,2.09,1.74,1.99,0,0.55,0.61,2.09,1.97,2.09,1.75,1.98,0,0.56,0.61,2.09,1.98,2.09,1.75,1.99,0,0.8,0.84,2.09,1.97,2.09,1.75,1.99,0,0.75,0.73,0.6,2.08,2.08,2.08,2.08,2.08,2.08,0,0.6,2.08,2.08,2.08,2.08,2.08,2.08,0,0.59,2.08,2.08,2.08,2.08,2.08,2.09,0,0.6,2.08,2.08,2.08,2.08,2.08,2.09,0,0.6,2.08,2.08,2.08,2.08,2.08,2.08,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,5304,64780,49768,15532,63228,61612,-1,-1,5456,276,49676,15560,62996,61156,-1,-1,5060,588,49592,16000,63156,61676,-1,-1,5364,1164,49260,16080,62976,61804,-1,-1,6536,2612,49836,16132,60568,62764,-1,-1,65424,463,64943,65301,65509,1077,-1,-1,65256,465,65099,194,65231,65121,-1,-1,65187,173,65473,4,107,65417,-1,-1,65315,1255,770,1923,1056,1752,-1,-1,65287,64814,110,331,64682,155,-1,-1
A,2.09,1.99,2.09,1.75,1.98,0,1.87,1.56,2.09,1.96,2.09,1.75,1.99,0,2.09,1.45,2.09,1.97,2.09,1.76,1.99,0,1.7,1.04,2.09,1.97,2.09,1.76,1.99,0,1.48,0.99,2.09,1.98,2.09,1.75,1.99,0,1.21,0.82,0.6,2.08,2.08,2.08,2.08,2.08,2.08,0,0.61,2.08,2.08,2.08,2.08,2.08,2.09,0,0.58,2.08,2.08,2.08,2.08,2.08,2.08,0,0.58,2.08,2.09,2.09,2.08,2.08,2.09,0,0.46,2.08,2.08,2.08,2.08,2.08,2.09,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,6060,1300,49724,15600,60236,63692,-1,-1,5936,1404,49984,15780,60768,63144,-1,-1,5528,64744,48796,16056,63336,64300,-1,-1,5164,65320,48876,16444,64628,62888,-1,-1,6172,65036,50488,15788,64800,63228,-1,-1,65121,106,65462,65275,65427,106,-1,-1,65533,143,41,65476,141,42,-1,-1,65047,63610,64804,65149,213,63396,-1,-1,64245,65327,65343,660,495,1322,-1,-1,65509,335,646,65134,65289,64801,-1,-1
A,2.09,1.98,2.09,1.75,2,0,0.81,0.21,2.09,1.98,2.09,1.75,2,0,0.64,0,2.09,1.98,2.09,1.76,2,0,0.84,0.47,2.09,1.98,2.09,1.76,2,0,0.69,0.64,2.09,1.98,2.09,1.76,2,0,0.57,0,0,2.08,2.08,2.09,2.08,2.08,2.08,0,0,2.08,2.08,2.08,2.08,2.08,2.08,0,0.07,2.08,2.08,2.09,2.08,2.08,2.09,0,0.07,2.08,2.08,2.09,2.08,2.08,2.09,0,0,2.08,2.08,2.08,2.08,2.08,2.08,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,5344,64664,49384,15952,62888,472,-1,-1,4700,64524,49428,16072,62928,344,-1,-1,4416,65228,49816,16516,63012,300,-1,-1,4844,65368,49860,16620,63052,65468,-1,-1,4692,216,49664,16164,63360,64884,-1,-1,65149,392,64809,488,65300,47,-1,-1,65139,378,65374,65401,65076,350,-1,-1,64645,1212,64808,186,65470,65036,-1,-1,65399,224,64699,65427,82,65390,-1,-1,65361,171,65062,113,93,65486,-1,-1
A,2.09,1.99,2.09,1.76,2,0,0.58,0,2.09,1.99,2.09,1.76,2,0,0.56,0,2.09,1.99,2.09,1.76,2,0,0.55,0,2.09,1.99,2.09,1.77,2,0,0.56,0,2.09,1.99,2.09,1.76,2,0,0.56,0,0,2.08,2.08,2.08,2.08,2.08,2.08,0,0,2.08,2.08,2.09,2.08,2.08,2.08,0,0,2.05,2.08,2.09,2.08,2.08,2.09,0,0,2.04,2.08,2.08,2.08,2.08,2.08,0,0,2.07,2.08,2.08,2.09,2.08,2.08,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,4640,736,49496,16308,63216,64864,-1,-1,5156,1148,49680,16272,63336,64492,-1,-1,5344,256,49892,16188,63372,64464,-1,-1,6640,65528,50440,16400,62540,64372,-1,-1,6252,1064,49816,15168,60520,65452,-1,-1,65250,78,65390,65128,65345,65502,-1,-1,65346,11,149,65348,65249,65202,-1,-1,65299,65360,15,120,65483,65423,-1,-1,65008,187,64081,86,64515,1895,-1,-1,64766,64893,115,64170,1545,65431,-1,-1
A,2.09,1.99,2.09,1.76,2,0,0.59,0.76,2.09,1.99,2.09,1.77,2.01,0,0.55,0,2.09,1.99,2.09,1.77,2.01,0,0.55,0,2.09,1.99,2.09,1.77,2,0,0.54,0,2.09,1.99,2.09,1.77,2.01,0,0.57,0,0,1.98,2.08,2.08,2.08,2.08,2.08,0,0,1.88,2.08,2.08,2.08,2.08,2.09,0,0,1.87,2.08,2.09,2.08,2.08,2.08,0,0,1.78,2.08,2.08,2.08,2.08,2.09,0,0,1.75,2.08,2.08,2.08,2.08,2.08,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,7600,1476,49880,16252,61808,348,-1,-1,5068,3368,49128,15816,61732,65484,-1,-1,5964,2148,50028,14776,60356,824,-1,-1,6500,2452,50892,15316,60868,1084,-1,-1,6100,1916,50048,16256,60692,65216,-1,-1,64965,65103,65325,65222,301,65325,-1,-1,64114,65213,1866,65506,64742,65123,-1,-1,208,501,181,765,132,449,-1,-1,65454,153,65225,65473,62947,65081,-1,-1,566,195,65179,118,64046,636,-1,-1
A,2.09,1.99,2.09,1.77,2.01,0,0.55,0,2.09,1.99,2.09,1.77,2.01,0,0.53,0,2.09,1.99,2.09,1.77,2.01,0,0.57,0,2.09,1.99,2.09,1.77,2.01,0,0.54,0,2.09,1.99,2.09,1.77,2.01,0,0.33,0,0,1.73,2.08,2.08,2.09,2.09,2.08,0,0,1.69,2.08,2.09,2.09,2.08,2.08,0,0,1.95,2.08,2.08,2.08,2.08,2.08,0,0,1.82,2.08,2.08,2.08,2.08,2.08,0,0,1.7,2.08,2.08,2.08,2.08,2.09,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,6196,1036,50236,15528,59388,63900,-1,-1,8888,64220,51860,16084,61116,64156,-1,-1,6796,976,50080,15988,61556,64160,-1,-1,6576,660,50672,15980,61464,64332,-1,-1,6504,1432,50676,15992,61828,63772,-1,-1,65240,160,65454,101,281,208,-1,-1,64560,1043,837,64195,369,504,-1,-1,65138,283,18,64820,65386,65161,-1,-1,677,65185,65277,65482,65125,151,-1,-1,675,46,911,65405,29,443,-1,-1
A,2.09,1.99,2.09,1.77,2.01,0,0.98,0,2.09,1.99,2.09,1.77,2.01,0,1.2,0,2.09,1.99,2.09,1.77,2.01,0,0.58,0,2.09,1.99,2.09,1.77,2.01,0,0.58,0,2.09,1.99,2.09,1.78,2.01,0,0.56,0,0,1.75,2.08,2.09,2.08,2.08,2.08,0,0,2.07,2.08,2.09,2.08,2.08,2.08,0,0,1.92,2.08,2.09,2.08,2.08,2.09,0,0,1.86,2.08,2.08,2.08,2.08,2.08,0,0,1.76,2.08,2.09,2.08,2.08,2.09,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,4676,1708,49420,15692,62192,63984,-1,-1,4836,1332,49796,15864,62068,64520,-1,-1,6896,1056,51108,15864,62744,63944,-1,-1,5432,1180,49428,16100,63032,62436,-1,-1,6088,1412,50088,15636,61440,62492,-1,-1,366,444,65330,973,65490,65472,-1,-1,65092,21,65474,168,65454,844,-1,-1,399,582,30,63789,64987,90,-1,-1,64985,474,327,205,719,454,-1,-1,26,65479,65118,646,65507,65426,-1,-1
